# planets   transits   detectable
    46498        446           64
    46398        476           48
    45876        502           56
    46322        424           46
    46214        448           34
    46742        472           64
    46184        494           72
    46168        492           52
    46288        458           28
    46274        474           66
    46290        496           48
    46342        524           72
    45828        422           52
    46198        458           48
    46544        546           52
    46510        506           60
    46300        538           60
    46380        496           58
    46430        508           70
    46056        510           80
    46464        506           48
    46742        526           68
    46642        464           58
    45854        482           60
    46352        498           50
    46052        478           40
    46030        480           66
    46410        478           72
    46644        490           50
    46592        500           60
    45944        544           70
    46234        474           40
    46822        536           56
    46320        510           62
    46570        470           56
    46568        510           58
    46002        532           62
    46232        560           96
    46112        472           42
    46082        472           64
    46092        542           72
    46352        452           56
    45810        538           62
    46292        470           50
    46062        468           56
    46180        428           66
    46044        510           46
    46364        486           44
    46740        500           56
    46012        486           52
    46374        502           68
    45928        456           42
    46180        530           52
    46378        468           48
    45876        560           64
    46158        492           54
    45960        506           62
    45800        486           48
    46676        510           62
    45910        492           46
    46140        452           48
    46184        494           68
    46182        484           64
    46250        436           48
    46120        506           64
    45694        520           54
    46696        578           64
    46146        454           40
    45830        470           60
    45988        500           52
    46912        502           54
    45804        502           50
    46226        522           62
    45892        540           70
    46342        480           48
    45998        486           50
    46666        526           60
    46108        456           60
    46046        508           52
    46254        466           58
    45884        452           48
    46100        476           56
    46112        478           66
    46498        468           60
    46252        502           58
    45834        480           60
    46320        484           62
    46228        526           58
    46148        500           48
    46560        510           48
    46284        520           64
    46264        452           56
    46226        488           60
    46522        512           58
    46612        534           62
    46268        486           54
    45940        476           56
    45880        488           54
    46146        454           46
    46092        520           62
    45680        522           56
    46038        482           58
    46084        496           52
    46210        522           76
    46976        436           52
    45844        468           46
    46314        550           56
    46654        498           66
    46368        450           42
    45892        490           50
    46056        530           62
    46258        526           56
    45976        476           84
    46248        534           76
    45800        508           66
    46590        526           64
    46098        460           56
    45826        494           58
    46014        540           40
    46212        542           74
    46560        530           70
    46110        480           54
    46622        464           54
    46620        524           66
    45744        480           48
    46498        528           58
    45748        474           44
    45308        448           60
    46002        450           36
    45888        492           24
    46016        412           36
    46710        506           52
    45980        504           52
    45996        554           60
    45952        498           44
    46010        532           54
    46296        510           64
    46904        528           58
    45976        462           44
    45934        520           72
    46064        506           78
    46594        470           56
    46234        420           56
    46058        448           40
    45832        522           68
    46268        524           52
    45866        486           50
    46098        526           68
    45864        502           58
    46194        468           44
    46018        480           84
    46626        476           68
    45998        500           44
    46138        528           64
    45974        492           46
    46298        516           72
    46220        418           54
    46100        508           66
    46090        510           58
    46748        514           56
    46078        476           42
    45998        484           60
    45910        496           52
    45998        450           60
    45744        430           62
    46012        510           54
    46458        442           56
    46046        476           50
    45794        502           58
    46162        460           52
    46446        484           42
    45604        474           44
    46024        554           68
    46146        498           66
    46552        482           72
    46004        458           54
    46140        496           62
    46244        458           52
    46084        482           46
    46430        568           66
    45824        520           56
    46440        458           52
    46434        480           44
    45962        470           48
    46338        428           34
    46616        536           66
    46150        550           60
    46306        530           60
    46262        530           60
    46050        592           40
    46074        464           44
    46092        490           66
    46534        494           48
    46088        466           60
    46548        542           58
    45782        478           48
    45614        466           64
    46648        496           56
    45836        480           44
    45782        494           56
    46260        548           58
    46744        524           54
    46128        450           38
    46050        504           60
    46112        442           50
    45650        566           62
    46348        500           66
    46628        512           52
    45794        488           60
    46388        488           64
    46260        498           56
    45854        546           74
    45706        454           50
    46498        512           58
    46260        464           52
    46186        494           40
    46470        506           60
    46080        504           36
    45980        472           52
    45996        470           44
    46044        492           50
    46368        506           58
    46166        476           52
    46222        504           64
    46176        484           48
    46206        516           54
    46004        424           48
    45946        478           48
    45870        446           62
    46470        480           52
    46170        542           48
    46270        532           62
    46018        518           50
    46306        480           70
    45656        470           38
    46276        496           50
    46238        476           44
    46124        494           60
    45438        472           74
    46290        474           64
    46658        482           46
    46474        472           50
    46506        486           62
    46404        522           58
    45976        538           44
    46004        480           56
    46688        554           74
    46484        480           64
    46252        552           72
    45756        526           68
    46148        440           38
    46062        548           64
    46350        518           60
    46126        532           60
    46204        484           54
    46576        436           56
    46436        474           48
    46070        470           44
    46620        532           70
    46594        520           56
    46792        482           50
    45834        498           62
    46028        478           44
    46264        552           70
    46776        494           70
    45782        502           52
    46370        448           60
    46306        550           40
    46324        464           42
    46436        490           56
    46640        494           44
    45888        444           52
    46004        546           54
    46756        492           52
    45836        490           48
    46264        520           70
    46408        448           66
    45678        494           60
    46374        484           40
    46066        512           50
    46472        500           52
    46186        500           58
    45734        514           56
    46968        474           52
    46380        474           54
    46672        416           60
    46636        470           50
    46200        440           36
    45866        556           72
    46056        486           56
    46248        452           54
    46464        540           66
    46236        504           50
    46690        524           58
    46222        482           56
    45956        462           38
    46636        520           70
    46524        484           44
    46316        528           60
    45810        546           68
    46120        492           50
    45878        464           64
    45792        506           74
    46082        500           68
    45402        462           48
    45928        534           56
    46248        510           42
    46532        480           44
    46008        478           34
    45894        468           60
    45862        468           28
    46228        504           48
    46112        488           56
    46440        532           46
    46646        478           66
    46286        492           62
    45952        482           64
    46302        510           74
    46134        458           34
    46406        468           64
    45854        460           70
    46208        492           48
    46082        490           44
    45922        510           54
    46270        490           50
    46712        486           46
    45730        472           48
    45858        498           62
    46474        522           70
    46216        472           44
    46472        490           66
    45948        428           58
    46272        434           62
    46852        514           48
    45952        466           52
    46558        490           62
    46426        448           50
    46368        442           48
    46078        514           60
    46538        526           56
    46512        464           60
    46558        470           46
    46260        472           68
    46200        488           42
    46236        534           48
    46526        522           58
    46048        544           84
    46572        476           46
    46080        478           42
    46158        454           64
    46598        502           54
    46342        502           60
    45902        516           50
    46256        508           66
    45964        446           58
    46402        504           82
    46298        462           48
    46296        520           74
    46368        504           68
    46064        508           58
    45816        486           52
    46164        498           56
    46128        502           70
    46216        486           88
    46098        468           66
    46266        536           62
    46486        544           60
    45892        512           48
    46378        494           62
    46120        436           48
    45668        524           60
    46516        466           68
    46638        534           66
    45734        460           52
    46014        522           62
    46298        498           74
    46528        494           58
    46184        510           50
    46340        540           62
    46228        516           54
    46540        498           62
    46724        492           50
    46356        446           50
    45844        466           40
    46608        540           42
    46190        478           54
    46670        506           54
    46184        460           54
    45538        490           62
    46134        526           84
    46494        474           62
    46422        466           46
    45598        486           54
    46372        484           50
    46052        520           48
    46124        450           52
    46662        454           38
    46288        486           54
    46176        506           68
    45754        468           42
