# planets   transits   detectable
    22810        264           20
    23326        282           36
    23050        274           22
    22888        246           16
    23002        206           24
    23210        240           26
    23038        266           22
    22928        280           28
    22666        232           10
    22802        232           22
    23014        228           20
    23160        254           34
    22792        246           26
    23270        262           24
    23464        266           28
    23082        216           20
    22920        298           22
    23088        254           24
    22782        230           20
    23086        238           26
    23408        244           12
    23458        220           18
    23392        248           22
    22968        250           22
    22942        220           30
    23160        264           26
    22880        266           30
    23224        234           28
    22858        252           32
    23316        248           28
    23214        264           38
    22996        264           24
    22976        250           30
    23038        296           18
    23796        244           26
    23106        262           32
    22990        250           36
    23022        254           16
    23182        240           26
    22938        252           26
    22738        230           28
    23046        268           28
    23028        290           44
    23222        250           28
    23266        242           30
    23174        234           18
    23196        214           34
    23022        242           20
    22816        236           30
    23080        234           34
    22884        272           34
    23670        264           26
    23310        208           14
    23024        242           36
    23142        308           36
    23270        232           34
    22750        270           34
    23116        236           24
    23128        238           26
    22998        270           40
    22994        256           46
    23120        230           26
    23036        250           18
    23416        270           22
    23184        230           22
    22780        224           26
    23372        252           24
    22830        190           14
    23358        252           26
    23052        228           14
    22960        260           14
    23156        256           22
    22962        230           26
    23192        224           28
    22700        260           30
    22888        216           20
    23010        236           44
    23214        208           22
    23122        238           22
    22474        248           36
    23312        260           36
    22936        232           30
    23004        294           38
    22816        260           16
    23338        274           24
    22990        216           16
    23378        290           24
    22832        266           26
    23142        220           14
    23220        234           20
    23216        238           20
    23100        264           36
    23334        230           24
    22670        272           22
    23214        198           28
    23132        254           18
    23242        232           22
    23148        284           34
    23216        242           34
    22804        250           30
    23304        274           18
    22782        232           20
    23148        252           26
    23072        248           32
    23086        286           22
    22750        212           12
    22986        270           20
    23058        252           26
    22912        256           40
    22984        228           24
    23566        330           26
    23036        232           38
    22610        198           18
    22924        226           18
    23124        236           24
    23236        280           44
    22960        260           26
    22736        240           22
    23676        302           32
    22684        232           26
    23054        216           34
    22708        238           22
    23160        224           26
    23212        228           32
    23058        236           28
    23276        292           26
    23456        246           14
    23180        298           32
    23026        260           42
    22912        260           18
    23352        260           26
    23172        258           36
    23324        254           28
    22732        246           18
    23158        270           26
    23104        260           26
    23314        282           24
    23100        306           36
    23408        228           28
    22864        262           24
    23062        186           20
    23154        244           20
    23112        216           16
    22964        214           28
    23080        240           18
    22942        222           30
    23278        270           30
    23088        204           18
    22950        248           16
    23158        238           28
    23140        238           22
    22970        238           22
    22942        228           18
    23228        238           30
    23078        260           16
    23110        222           36
    23158        216           20
    23228        252           38
    23048        232           10
    23042        246           24
    22924        274           38
    23020        204           24
    23212        264           12
    23056        250           22
    23450        240           34
    22954        264           32
    22878        268           34
    23402        238           34
    23336        276           40
    23168        270           16
    22858        218           16
    23430        248           22
    22884        246           42
    22572        278           26
    23164        224           24
    23150        220           34
    22992        254           34
    22944        256           24
    23316        254           20
    22988        256           24
    23116        246           28
    23062        228           30
    23364        266           28
    23042        250           16
    23126        198           24
    22896        274           20
    22750        270           28
    23038        236           20
    22922        214           14
    22888        206           28
    22980        222           40
    23176        252           40
    22932        214           26
    22890        216           32
    22862        232           14
    23096        276           38
    23310        268           28
    23102        216           20
    22996        270           28
    22820        236           20
    22720        262           24
    23234        206           22
    23140        238           20
    23054        238           30
    23152        218           24
    23084        266           30
    23022        286           18
    23124        222           26
    23134        240           26
    23192        218           16
    23100        248           28
    22950        258           18
    23172        216           12
    22596        238           34
    23124        260           32
    22826        238           16
    23082        230           32
    23180        280           36
    23320        264           20
    23218        254           40
    23250        212           26
    22866        250           26
    22842        254           26
    22842        246           30
    22774        264           36
    23102        242           26
    23240        244           22
    23318        258           30
    22900        242           28
    22932        250           18
    22978        288           36
    23188        250           22
    23228        248           38
    23162        244           32
    23286        242           20
    22988        232           38
    22816        252           28
    22820        250           48
    23238        270           32
    23248        238           30
    23208        262           32
    22906        256           22
    23212        236           22
    22762        270           16
    23000        260           28
    23120        266           42
    23564        270           38
    23144        218           16
    23142        260           34
    22826        232           30
    23128        288           32
    23302        276           24
    23250        252           10
    23072        264           30
    22836        234           16
    22780        286           26
    23050        242           22
    22952        238           22
    23066        260           40
    22920        266           26
    22680        240           14
    23142        268           44
    22702        262           24
    23472        260           24
    23018        238           18
    22860        280           36
    23070        222           12
    23456        254           24
    23138        250           30
    23408        214           12
    22828        232           26
    22852        214           28
    23214        294           28
    23180        264           24
    23286        216           20
    23154        216           20
    22846        220           28
    22878        268           34
    23110        218           30
    23106        256           24
    23438        258           14
    22698        266           16
    23186        276           34
    23004        252           28
    23152        242           28
    23144        236           22
    22892        246           24
    23144        234           16
    23080        246           30
    22878        244           42
    23348        288           30
    23210        252           18
    23236        230           24
    23396        228           20
    23154        266           40
    22612        216           12
    22848        240           20
    22966        236           20
    23096        226           12
    23014        246           28
    23226        268           34
    23114        292           30
    23128        242           24
    23024        208           24
    22570        270           26
    22966        306           30
    23430        218           14
    23052        228           28
    23054        238           12
    23014        230           24
    23188        286           44
    22972        226           26
    22744        248           34
    22990        234           26
    22932        224           20
    22952        216           18
    22858        258           16
    22878        258           26
    23082        250           34
    23214        230           22
    23010        260           32
    22910        244           30
    22888        196           16
    23066        248           20
    23326        276           32
    23380        272           22
    23366        234           22
    23252        244           28
    23160        238           16
    23086        266           14
    22966        258           34
    23094        238           22
    22944        274           24
    22904        240           36
    23270        278           32
    22800        236           26
    22958        234           24
    23342        236           34
    23124        230           24
    23000        258           24
    22886        224           26
    23178        226           14
    22942        272           30
    22864        244           18
    22960        254           24
    23356        248           34
    22722        214           22
    22902        222           14
    23436        230           18
    22822        236           24
    22786        216           22
    22852        204           24
    23032        234           28
    23428        230           20
    23232        262           32
    22972        288           18
    23134        208           22
    23212        228           26
    23032        246           22
    23114        224           32
    23048        238           20
    23098        256           48
    22818        246           22
    22804        220           28
    23050        220           18
    23052        264           32
    23364        246           24
    22998        238           22
    23654        298           36
    22910        228           10
    22910        266           38
    23270        248           40
    22876        266           38
    23246        224           22
    22820        236           26
    22962        246           12
    23468        306           34
    23036        280           18
    23002        226           24
    23342        228           30
    22862        262           46
    23128        224           30
    23214        260           38
    22904        244           28
    23074        248           40
    22972        244           26
    23176        302           22
    22748        232           22
    22980        244           20
    23012        228           16
    23432        198           24
    23198        262           26
    23428        282           24
    23328        256           22
    23266        270           40
    23034        238           28
    22958        266           20
    22874        252           24
    23170        296           28
    22838        282           46
    23208        210           16
    23070        256           12
    22948        266           24
    23264        266           34
    22710        238           20
    23348        266           34
    23496        286           20
    23464        230           16
    23100        222           26
    22912        230           36
