# planets   transits   detectable
    22990        234           32
    22816        268           32
    22876        224           46
    22736        260           30
    23336        228           36
    22738        228           24
    23072        244           30
    23188        236           28
    23084        292           26
    23140        190           26
    22922        212           36
    23132        292           28
    23078        246           22
    23012        252           30
    22986        232           16
    23226        222           22
    23076        236           20
    23024        274           36
    22848        260           30
    23202        250           28
    23160        214           24
    22924        220           22
    23418        250           34
    23390        244           26
    23430        254           28
    22780        272           10
    22934        268           34
    22776        262           34
    23258        194           26
    22960        232           20
    22794        230           28
    23220        234           16
    23204        248           24
    22960        244           16
    23080        250           32
    23134        224           18
    22776        248           34
    23328        294           34
    23346        226           22
    22948        202           22
    22878        226           30
    23302        254           50
    23216        222           26
    22974        244           30
    23510        254           26
    22508        212           24
    23522        218           18
    23460        270           20
    23344        258           30
    22828        256           28
    23104        294           28
    22930        246           22
    22976        238           20
    23026        242           22
    23152        228           30
    23028        248           30
    23164        268           24
    23034        226           24
    23332        238           22
    23100        232           30
    23122        242           20
    22558        288           24
    23338        202           22
    23646        250           18
    22814        218           18
    23048        216           30
    23124        232           30
    23130        286           16
    23004        268           26
    22968        262           18
    23096        258           32
    23084        280           28
    23108        254           32
    22898        268           18
    22946        242           26
    22948        262           36
    22704        250           42
    23140        292           24
    22690        274           24
    23136        294           46
    22884        296           38
    23276        228           24
    23550        288           34
    22808        268           32
    22814        228           30
    23218        242           22
    23194        260           28
    23436        242           26
    22996        262           30
    22914        208           16
    23312        250           28
    22792        252           26
    22934        242           22
    22944        250           38
    23116        266           34
    23148        240           28
    22904        224           26
    23252        234           26
    22902        270           34
    23486        252           32
    22948        274           14
    22820        228           20
    23230        260           36
    22936        232           26
    23092        226           20
    23008        204           16
    22594        248           28
    22696        272           50
    23422        266           30
    22886        226           34
    22948        294           16
    22932        272           32
    23158        244           34
    22962        262           32
    23018        270           32
    23190        240           22
    23164        266           28
    23260        236           30
    22750        286           38
    23032        234           18
    22996        226           30
    22920        212           20
    23104        258           28
    22628        268           36
    23316        262           26
    23556        226           24
    23142        232           34
    23448        264           28
    23368        270           32
    22956        260           40
    22976        232           36
    23220        228           32
    22742        260           38
    23116        244           24
    23166        224           20
    23414        240           20
    23090        284           26
    23322        242           24
    22828        262           20
    23360        190           24
    23144        280           22
    23358        324           38
    23052        230           22
    23128        238           34
    22852        216           30
    23332        288           32
    23270        220           16
    22908        228           18
    23050        274           36
    22932        198           38
    23474        226           38
    23260        238           32
    23246        234           24
    23368        258           32
    23218        266           42
    22814        260           28
    23290        228           16
    22590        202           20
    22942        228           28
    23016        192           28
    23276        302           42
    22910        292           22
    23224        280           30
    23034        248           44
    23100        238           44
    22936        238           36
    23192        250           38
