# planets   transits   detectable
     4816         54            2
     4794         42            4
     4700         62            6
     4666         58           10
     4730         60           10
     4464         50            8
     4684         44            6
     4544         48            2
     4544         44            6
     4536         50            2
     4560         70            4
     4644         52            8
     4638         48            4
     4638         54            2
     4480         44            4
     4614         44            0
     4536         62            6
     4504         42           10
     4424         58            6
     4574         56            6
     4676         62            4
     4496         80           12
     4610         48            4
     4690         62            4
     4740         48            8
     4640         60            4
     4640         74            8
     4574         66            6
     4870         78            4
     4718         70            6
     4534         56            4
     4856         66            6
     4576         62            6
     4528         38            2
     4708         68            6
     4664         40            4
     4728         68           12
     4688         60            4
     4608         52            0
     4470         66           10
     4438         54            6
     4632         42            4
     4732         58            6
     4550         30            4
     4506         42            4
     4700         64           10
     4652         44            8
     4660         42            2
     4580         58            0
     4646         60            6
     4514         40            4
     4692         46            6
     4638         64            6
     4558         56            2
     4628         48            4
     4614         40            4
     4662         60            6
     4486         32            0
     4560         62           10
     4630         42            0
     4598         52           10
     4594         54            0
     4584         60            4
     4492         60           12
     4618         54            2
     4640         46            2
     4590         46            6
     4540         36            6
     4658         44            2
     4572         46            4
     4672         52            2
     4606         56            2
     4642         54            2
     4426         48            0
     4704         62           14
     4482         64            6
     4690         48            6
     4522         58           12
     4678         58            8
     4638         60            6
     4674         52            8
     4622         52            8
     4756         52            2
     4662         56            4
     4560         48            8
     4704         42            4
     4552         46           12
     4528         52            2
     4454         54            8
     4864         46            4
     4744         46            6
     4704         50            8
     4678         54            2
     4660         52            4
     4614         42            8
     4556         40            6
     4710         70            6
     4548         38            4
     4534         48            4
     4590         36            2
     4708         50            2
     4502         36            2
     4826         66           12
     4556         50            2
     4584         60            8
     4698         44            0
     4748         56           10
     4516         40            4
     4658         62            2
     4580         36            6
     4732         38            0
     4584         52            6
     4704         62           10
     4748         50            0
     4644         52            4
     4574         46            6
     4742         58            6
     4746         46            0
     4922         44            4
     4578         46            4
     4614         46            0
     4606         48           14
     4778         42            2
     4430         76            8
     4698         66            2
     4614         38            2
     4568         44            6
     4536         44            6
     4830         46            4
     4738         58           12
     4528         48            6
     4722         64            6
     4680         36            8
     4520         52           12
     4612         32            0
     4626         50            6
     4814         32            8
     4528         56           10
     4594         40            6
     4690         40            0
     4514         48            6
     4796         38            6
     4688         52            6
     4470         46            8
     4750         52            2
     4680         52            4
     4468         60           10
     4680         70            8
     4588         36            0
     4632         40            8
     4636         46            8
     4586         38            6
     4634         50            6
     4510         48            6
     4718         54            6
     4408         44            8
     4614         50           10
     4668         64            4
     4668         58            4
     4736         58            8
     4622         46            2
     4694         32            4
     4650         50            4
     4646         46            4
     4528         56            4
     4608         48            4
     4624         42            2
     4502         40            4
     4742         54            8
     4486         32            6
     4388         48            6
     4596         52            8
     4728         50            6
     4662         44            4
     4520         74            8
     4730         44            2
     4570         42            4
     4662         50            0
     4538         56            6
     4504         46            2
     4658         68           10
     4502         48            8
     4642         54            4
     4762         38            2
     4376         42            4
     4552         46            4
     4580         48            2
     4574         46            8
     4778         46            4
     4776         66            6
     4614         52            4
     4630         40            6
     4682         36            2
     4732         60            8
     4746         44            0
     4602         46            6
     4616         42            6
     4584         40           10
     4590         38            4
     4650         48           14
     4582         44            2
     4612         58            6
     4634         40            4
     4664         52            4
     4578         58           10
     4628         52            6
     4534         38            0
     4730         30            2
     4624         50            6
     4676         62            6
     4536         54           16
     4636         36            2
     4658         52            2
     4734         46            2
     4570         38            4
     4462         52            4
     4504         54            4
     4540         40            4
     4652         38            4
     4638         62            6
     4700         48            6
     4602         58            4
     4510         48            4
     4622         52            6
     4642         70            4
     4616         68           10
     4652         46            4
     4486         48           10
     4576         44            4
     4616         48            0
     4656         58            4
     4582         36            0
     4564         38            4
     4578         56           12
     4640         70            8
     4740         44            2
     4468         44           10
     4584         48            8
     4696         54            6
     4626         32            6
     4566         44            8
     4706         44            4
     4536         44            4
     4668         36            6
     4458         50            8
     4582         42            2
     4646         56            0
     4562         48            2
     4752         44            2
     4486         40            4
     4658         52            4
     4452         52            4
     4668         56           10
     4604         56            6
     4504         44            2
     4492         48            4
     4696         42            2
     4642         28            2
     4522         48            2
     4524         60            4
     4600         70            4
     4746         36            4
     4636         60            8
     4528         56            6
     4524         46            8
     4768         56            6
     4676         58           10
     4532         46            2
     4648         64            4
     4568         48            6
     4592         36            2
     4434         36            2
     4488         30            4
     4904         48           10
     4606         44            4
     4652         36            0
     4542         46            2
     4688         60            4
     4608         38            2
     4816         56            4
     4716         60            8
     4682         42            8
     4676         50            8
     4654         42            4
     4692         54            8
     4592         38            2
     4674         70            6
     4508         42            2
     4526         56            6
     4568         58            8
     4700         42            4
     4656         60            2
     4568         42            2
     4528         58            6
     4632         68            6
     4556         44            4
     4806         44            8
     4558         54            4
     4738         50            6
     4528         50            4
     4518         44            6
     4720         68            0
     4588         40            8
     4574         56            4
     4370         44            2
     4728         42           10
     4696         60            8
     4708         48            0
     4786         64            2
     4536         46            2
     4404         30            2
     4502         36            2
     4578         50           10
     4586         66            4
     4502         48            4
     4536         58           12
     4666         46            2
     4532         54            0
     4588         42            2
     4748         60            0
     4660         62            4
     4600         44            6
     4786         56            0
     4710         66           14
     4724         34            6
     4680         54           10
     4678         48            4
     4586         40            6
     4502         40            0
     4570         28            4
     4534         48           10
     4624         44            4
     4772         54            6
     4470         50            4
     4526         68            4
     4708         54            2
     4610         48            6
     4456         58            2
     4642         28            2
     4652         44            2
     4722         70            6
     4702         54           10
     4600         50            2
     4402         52            4
     4618         62            8
     4530         52           10
     4594         44            2
     4608         56            8
     4516         30            0
     4574         34            6
     4640         64            8
     4798         48            4
     4792         40            4
     4488         52            6
     4524         58           10
     4700         44            0
     4582         56            2
     4518         42            0
     4744         66            6
     4624         52            6
     4660         30            4
     4620         60            8
     4672         50            2
     4622         48            4
     4616         38            2
     4676         60            6
     4710         50            6
     4712         42            4
     4682         42            4
     4506         48            4
     4564         42            4
     4556         58            4
     4592         52           10
     4482         50            2
     4552         30            2
     4588         64            8
     4738         46            2
     4664         58            8
     4616         50           12
     4568         48            2
     4528         42            4
     4658         48            6
     4552         50            6
     4436         36            6
     4648         56            0
     4446         32            2
     4582         42            2
     4724         42            2
     4360         54            6
     4578         52            8
     4766         34            2
     4474         32            4
     4750         42            2
     4594         58            8
     4528         74            2
     4584         40            6
     4514         54            6
     4596         52            2
     4608         58            6
     4588         72            8
     4628         38            2
     4794         46            2
     4504         56           10
     4796         40            2
     4682         66            2
     4652         38            6
     4666         32            4
     4740         46            2
     4632         58            2
     4518         52            2
     4580         50           10
     4546         52            4
     4552         40            4
     4716         40            4
     4496         44            4
     4614         36            4
     4672         70            4
     4676         78            4
     4508         40            2
     4734         46            4
     4580         56            6
     4634         56            2
     4660         42            2
     4638         54            6
     4650         54            4
     4702         56            8
     4524         54            2
     4578         58            4
     4656         56            6
     4628         56            6
     4556         40           10
     4524         62            2
     4570         40            6
     4686         66            4
     4452         46            2
     4744         46            2
     4572         60            4
     4618         56            4
     4656         64           10
     4556         52            4
     4690         46            2
     4624         50            2
     4650         40            4
     4608         34            6
     4664         56            4
     4686         50            6
     4572         44            2
     4664         42            4
     4490         58           10
     4662         56            6
     4634         54            8
     4778         34            4
     4682         72            4
     4684         50            0
     4656         44            6
     4692         38            6
     4550         26            0
     4560         56            6
     4696         62            8
     4810         50            6
     4676         52           10
     4718         44            2
     4580         44            4
     4650         68           10
     4654         46            2
     4788         48            2
     4700         66           10
     4712         38            4
     4656         70            8
     4628         34            4
     4542         40            4
     4536         38            4
     4572         24            2
     4634         46            8
     4584         38            6
     4592         52           10
     4628         36            2
     4700         54            2
     4576         54            8
     4446         52            8
     4552         48            4
     4520         48           10
     4692         46           10
     4654         48            2
     4616         42            6
     4730         50           10
     4868         52            4
     4746         50            2
     4646         58            6
     4420         50            8
     4600         54            6
     4708         46            6
     4534         40            6
     4494         46            2
     4740         56           10
     4672         46           12
     4416         48            6
     4642         50            4
     4702         44            2
     4592         44           12
     4594         36            4
     4592         38            6
     4576         54            8
     4738         64            8
     4582         50            4
     4604         52            4
     4486         44           10
     4824         64            6
     4538         42            0
     4636         54            4
     4586         60           10
     4728         58            4
     4564         56            8
     4404         54            2
     4736         44            2
     4598         40            2
     4764         36            6
     4490         64            0
     4446         50            4
     4696         54            8
     4672         56            8
     4460         62           16
     4626         60            6
     4588         50            4
     4646         40            0
     4636         38            6
     4506         62            2
     4640         52            6
     4560         44            8
     4560         54            4
     4636         46            6
     4662         44            4
     4470         44            2
     4634         52            4
     4724         54            6
     4454         44            6
     4602         34            2
     4474         36            2
     4684         52            8
     4654         44            4
     4716         40            4
     4638         56            6
     4618         52            2
     4514         48            4
     4708         40            4
     4472         68            4
     4604         54            8
     4566         42           10
     4744         42            6
     4456         54           10
     4622         50            2
     4560         70            4
     4744         54            4
     4694         60            8
     4680         64            4
     4452         48            4
     4482         30            2
     4550         48            4
     4698         48            6
     4664         36            2
     4530         46            2
     4668         46            0
     4660         48            0
     4584         56            8
     4606         44            4
     4788         44            8
     4578         40            2
     4662         40            2
     4666         46            2
     4616         46            4
     4444         48            4
     4560         46           10
     4590         44            4
     4524         46            6
     4590         58            6
     4600         32            6
     4618         66            2
     4636         56           10
     4624         52            8
     4582         40           10
     4586         48            0
     4592         32            4
     4478         46           10
     4600         46            0
     4592         46            2
     4686         46            4
     4396         48            2
     4686         52           16
     4634         54            4
     4552         42            8
     4584         50            4
     4654         54            6
     4544         44            2
     4716         54            4
     4778         62            8
     4622         64            6
     4744         48            6
     4666         46            4
     4510         54            6
     4706         48            6
     4578         54            6
     4644         52            6
     4502         38            2
     4596         50            2
     4606         44            2
     4710         40            8
     4532         38            6
     4418         64            8
     4536         40            4
     4588         42            8
     4772         54            8
     4652         58           10
     4818         72            2
     4730         50           10
     4756         36            8
     4612         60            6
     4886         38            4
     4664         40            4
     4636         36            2
