# planets   transits   detectable
    45744        522           72
    45858        512           66
    46180        506           66
    46174        480           44
    46154        482           52
    45538        522           32
    46566        498           48
    46314        524           52
    46234        502           72
    46164        516           56
    46662        426           44
    46398        492           50
    46270        518           60
    46096        506           66
    46354        484           56
    45884        458           38
    46268        546           56
    46114        488           32
    45860        492           50
    45888        528           66
    46404        462           56
    46064        462           28
    45804        456           44
    46134        528           50
    45688        466           54
    46508        452           50
    45798        518           52
    46484        456           52
    46688        444           48
    46142        502           60
    46266        488           56
    46262        484           56
    46692        476           32
    46338        498           66
    46062        486           32
    46568        550           56
    46102        480           54
    45768        500           62
    46040        560           72
    46656        544           76
    45798        514           48
    45880        480           38
    46012        512           62
    45816        486           40
    46284        506           56
    46240        492           40
    45960        488           66
    45838        480           46
    46282        478           50
    45926        504           44
    45678        520           76
    46174        562           56
    46464        514           54
    46074        426           38
    46264        526           56
    46174        500           52
    45970        446           44
    46156        436           46
    45818        476           56
    46240        502           40
    45980        556           70
    46152        518           38
    46026        492           42
    46088        514           64
    45766        436           52
    46476        466           68
    46594        472           48
    46060        500           54
    45754        528           52
    46524        542           56
    45914        454           38
    46544        516           66
    45842        460           64
    45962        508           54
    46326        544           50
    45860        434           36
    46658        506           40
    45928        456           58
    46184        518           46
    45696        470           54
    45926        486           48
    46428        540           54
    46498        534           48
    46250        496           46
    46312        540           50
    46390        478           42
    46428        494           58
    45810        520           58
    46022        518           50
    46362        462           56
    46192        520           84
    45700        482           48
    46006        474           38
    46002        522           64
    46254        498           48
    46226        522           66
    46348        522           56
    46076        422           42
    45854        526           60
    45896        460           42
    45664        536           56
    46112        516           54
    46180        490           56
    46362        484           50
    46086        518           58
    46280        514           52
    46012        516           42
    46328        494           40
    46114        468           44
    45700        494           32
    46064        476           52
    45870        438           50
    46308        488           42
    46824        558           38
    46190        446           68
    46226        526           60
    46644        450           70
    45786        478           50
    46244        516           44
    46430        480           50
    46454        504           50
    46518        508           42
    46692        460           46
    45962        444           42
    46426        460           36
    46270        488           26
    46056        470           40
    46750        552           50
    46302        470           66
    45784        482           52
    45786        520           56
    46538        534           52
    45728        504           64
    46378        530           52
    45902        484           56
    45540        518           42
    46052        510           38
    46522        448           46
    46040        524           68
    46212        464           42
    46404        566           56
    46474        450           66
    46160        482           32
    46250        452           66
    46160        496           50
    45856        508           58
    45996        506           56
    46282        524           44
    46354        544           60
    46044        436           38
    45988        514           56
    46646        468           62
    46002        486           48
    45804        512           58
    45982        532           60
    45886        476           40
    46476        476           58
    46554        488           72
    46472        498           50
    46176        506           42
    46348        474           50
    45956        444           54
    46430        526           54
    46632        534           62
    45718        546           62
    45878        496           50
    46284        470           52
    46112        470           52
    46106        452           46
    46196        496           44
    46482        530           58
    46010        490           26
    46624        508           50
    46094        524           60
    45908        532           56
    46350        516           46
    45878        476           48
    46960        458           56
    45764        498           52
    46360        496           34
    46336        504           50
    46230        490           44
    46118        456           56
    46286        510           54
    46574        474           54
    46712        468           50
    45712        516           56
    46130        416           32
    46216        474           46
    45868        536           70
    46668        540           56
    46484        586           46
    45906        470           46
    46296        546           60
    46536        502           42
    46150        514           52
    45678        478           56
    45812        428           34
    45998        470           52
    46372        438           44
    46420        522           58
    46034        516           38
    46160        518           70
    46068        556           56
    46346        490           62
    45810        504           58
    46450        468           70
    45876        434           52
    46282        506           46
    46578        454           62
    45870        464           46
    45686        494           48
    46268        476           52
    45996        478           42
    46010        464           60
    45814        518           46
    46324        482           52
    45830        508           46
    46104        514           42
    46486        542           72
    46368        506           36
    46064        562           52
    45786        506           62
    46058        504           42
    46186        496           30
    46016        486           56
    46180        470           50
    46712        488           46
    46680        482           44
    46166        504           54
    46782        528           56
    46296        526           60
    45826        540           52
    45672        490           64
    46422        506           74
    46000        454           46
    45878        536           50
    46350        542           60
    46760        560           62
    46216        460           28
    46062        536           72
    45928        474           70
    45698        480           64
    46122        526           48
    46160        480           42
    45984        460           44
    46134        502           48
    46376        454           44
    45936        492           82
    46382        436           54
    46224        492           56
    45856        496           62
    46458        534           46
    45574        492           68
    45924        510           56
    46478        508           44
    46436        510           54
    46070        488           60
    46242        508           64
    46060        474           50
    45986        494           32
    45908        444           46
    46144        470           44
    46136        410           46
    46340        486           54
    46310        514           50
    46106        496           46
    46536        470           52
    45864        514           58
    46786        472           46
    47220        506           52
    46326        522           80
    46212        502           46
    46154        538           64
    45862        488           56
    45754        436           28
    45852        476           54
    46722        508           50
    46110        492           68
    46262        480           72
    45950        466           48
    45968        512           44
    45888        478           46
    45854        500           50
    46318        534           50
    45874        494           60
    46104        480           48
    46546        506           54
    46536        470           46
    46264        478           56
    46388        450           44
    46524        520           50
    45882        434           44
    46082        488           56
    45868        516           54
    46030        466           44
    46056        472           38
    45856        528           52
    46480        496           50
    46242        484           48
    46010        520           54
    46316        488           34
    45872        498           54
    45952        406           54
    46154        452           52
    46160        490           42
    46218        496           50
    45778        494           64
    46442        540           66
    46080        504           66
    46668        500           46
    46582        502           58
    46560        490           68
    46230        518           52
    46364        542           64
    46630        464           44
    46530        484           66
    46060        510           72
    46088        568           70
    45448        510           56
    46510        452           48
    46540        468           40
    46638        514           40
    46174        466           48
    46712        452           52
    46414        498           48
    46248        500           34
    46456        460           46
    45540        466           48
    46146        546           58
    46342        486           40
    46606        488           54
    46086        500           48
    46406        480           66
    46006        498           50
    46794        512           38
    46242        458           66
    45842        534           54
    45998        506           44
    46222        534           46
    46176        546           58
    45866        476           64
    46242        486           48
    46536        492           62
    45788        528           46
    46218        476           44
    46206        460           56
    46582        504           36
    46300        530           54
    46144        486           42
    45714        528           56
    46158        460           52
    46574        482           62
    46444        424           26
    46362        474           38
    45478        522           56
    46534        478           46
    46268        452           52
    46594        498           56
    46294        514           46
    46346        472           56
    46080        396           34
    45640        436           40
    46592        514           62
    45964        490           36
    46418        458           48
    46242        494           48
    45776        492           48
    45976        478           46
    45956        488           58
    45874        466           48
    46378        510           52
    46400        524           50
    46092        490           58
    46466        502           52
    46658        474           68
    46064        478           36
    45994        478           52
    46220        498           44
    46296        516           50
    46290        462           52
    46098        508           62
    46160        538           56
    45928        482           50
    45830        494           66
    45680        488           44
    45748        550           68
    46534        538           44
    45910        478           30
    46028        444           40
    46440        496           32
    46320        552           66
    45966        558           64
    46042        462           48
    46240        590           56
    46082        470           32
    46164        552           50
    46034        458           46
    45584        480           46
    45986        512           60
    46026        496           42
    45916        454           44
    46302        532           36
    46860        512           66
    45946        460           42
    45888        524           26
    46180        528           42
    46360        532           66
    46262        448           42
    46370        578           52
    46000        486           52
    46364        500           48
    45620        504           38
    46140        442           70
    46302        514           52
    46358        396           42
    46536        460           44
    46298        530           66
    46028        484           44
    46258        460           42
    46432        526           50
    46070        470           52
    46166        502           46
    46196        490           52
    46424        464           58
    45772        492           42
    46340        460           34
    46210        476           48
    45932        464           56
    45644        482           52
    46766        496           34
    46008        462           48
    46306        478           48
    46042        468           40
    46250        498           56
    46160        448           54
    46372        508           56
    46706        484           38
    46436        520           60
    46024        456           46
    46028        476           46
    46182        518           44
    46298        502           62
    45604        490           46
    45840        512           62
    46388        474           62
    46318        498           42
    46238        540           48
    46092        540           64
    45704        456           56
    45926        448           36
    46428        480           50
    46526        496           50
    46148        476           52
    46196        514           38
    45768        492           34
    46230        480           48
    45998        500           56
    45772        508           64
    45992        492           52
    46250        460           54
    45832        504           52
    45932        518           54
    46530        558           70
    46396        552           54
    46042        524           52
    45592        468           54
    46226        532           64
    45944        456           48
    45570        524           48
    45776        500           68
    46670        454           50
    46032        448           42
    46610        530           72
    46188        470           44
    46192        484           62
    46198        450           48
    45952        500           50
    46314        472           54
    46482        528           40
    46006        462           42
    46512        446           48
    46240        532           42
    46070        460           54
    46588        522           50
    46286        468           52
    46062        546           42
    45682        408           40
    45746        448           44
    46510        492           46
    46232        452           54
    45928        550           54
    45958        456           36
    46074        522           60
    45932        494           68
    45820        490           62
    46288        514           42
    46518        506           56
    45980        450           46
    46152        450           46
    46688        484           52
    46228        520           58
    46016        476           48
    45564        498           66
    46062        504           54
    46514        478           40
    46316        498           68
    46472        522           66
    46656        534           50
    45742        452           52
    46314        478           48
    45674        466           60
    46212        404           46
    46512        508           80
    45976        538           70
    46320        456           60
    46374        496           48
    46362        520           86
    45984        458           46
    46344        494           42
    46030        488           54
    46264        470           48
    46498        510           70
    45218        464           38
    46016        422           48
    46284        450           48
    46180        500           38
    45844        556           84
    46138        464           38
    45970        470           42
    45544        486           56
    46080        534           54
    46166        516           58
    45738        488           46
    45920        486           64
    46080        442           26
    46328        472           66
    46042        526           42
    46062        464           52
    45488        504           68
    46040        534           40
    46282        466           78
    46352        452           68
    46760        466           50
    46014        502           54
    46148        508           50
    45902        478           48
    46124        404           38
    46074        474           44
    46238        450           44
    45884        484           44
    45866        486           42
    45932        566           52
    46010        498           60
    45884        534           48
    46652        494           50
    46126        532           46
    46110        466           52
    46154        544           62
    45980        478           42
    45826        454           32
    46242        452           44
    46512        458           52
    46752        532           50
    45842        482           52
    46334        488           70
    46152        420           46
    45976        480           52
    45954        532           56
    46040        460           38
    46254        450           28
    45930        524           42
    45882        448           38
    46216        480           64
    46572        452           50
    46128        484           52
    45692        458           46
    46198        518           70
    46060        510           38
    46282        492           60
    46740        530           56
    46566        466           56
    46152        474           50
    46172        468           46
    46488        506           32
    46552        490           36
    46212        492           64
    46008        502           56
    45988        488           42
    46424        506           38
    45786        478           48
    45598        492           82
    46420        510           52
    46056        494           38
    45556        532           60
    46690        466           56
    45838        514           58
    46160        432           32
    45658        434           52
    46278        518           72
    46026        436           46
    46048        510           52
