# planets   transits   detectable
     4504         32            4
     4756         52            2
     4858         68            8
     4702         42           10
     4546         48            2
     4580         48            6
     4604         58            8
     4518         52            4
     4574         48           10
     4638         50            0
     4654         36            0
     4654         40            4
     4634         48            6
     4634         48            4
     4600         64            6
     4688         38            6
     4662         58            6
     4648         40            2
     4710         76            6
     4532         58            2
     4652         44            4
     4604         46            4
     4450         46            2
     4580         62            4
     4564         48            6
     4766         36            4
     4744         38            6
     4572         58            6
     4518         68            8
     4610         42            0
     4732         40            4
     4558         62            4
     4628         44            8
     4630         46            4
     4666         54            6
     4484         38            6
     4632         60            8
     4682         58           12
     4682         32            6
     4514         46            6
     4546         48            8
     4652         62           12
     4634         46            0
     4642         60            4
     4660         52            4
     4652         58           12
     4500         44            8
     4834         54            2
     4638         56            0
     4642         42            4
     4670         54            6
     4658         50            4
     4538         54            8
     4614         40            6
     4690         44            4
     4600         68            2
     4508         44            8
     4726         40            2
     4636         60            0
     4670         42            4
     4698         50            2
     4672         68           12
     4718         58            8
     4616         44            6
     4746         56            2
     4636         50           16
     4780         40            6
     4808         32            4
     4606         48            8
     4766         56            6
     4626         40            4
     4564         58            2
     4670         62            6
     4536         52           10
     4678         50            4
     4636         38            4
     4564         42            4
     4608         46            6
     4646         24            2
     4674         62            0
     4448         44            2
     4652         50            4
     4624         62            4
     4676         58            8
     4594         32            2
     4568         56           10
     4540         46            2
     4562         50            2
     4474         46            8
     4644         46            4
     4558         60            4
     4434         56            4
     4530         44            4
     4508         54            4
     4608         44            6
     4498         48            8
     4536         48            4
     4562         52           12
     4686         42            6
     4508         40            2
     4584         70           10
     4490         58            8
     4638         50            6
     4652         54            8
     4656         36            4
     4660         46            6
     4598         38            6
     4472         56            8
     4482         44            0
     4642         56            4
     4556         56            8
     4534         38            6
     4604         44            6
     4630         60            4
     4720         48           10
     4578         56           10
     4754         48            2
     4590         44           12
     4524         62            6
     4680         62            8
     4710         46            4
     4540         48            2
     4492         54            6
     4620         56           10
     4766         34            2
     4546         68            2
     4464         38            6
     4736         42            4
     4682         40            0
     4782         36            6
     4564         58            6
     4598         70            6
     4736         50            2
     4608         40            0
     4552         56           14
     4684         36            6
     4640         50            4
     4614         52            0
     4640         56            2
     4574         46            4
     4616         56           12
     4468         60            6
     4562         50           12
     4582         52            4
     4558         66            0
     4570         42            4
     4568         66            6
     4546         56           12
     4668         48            2
     4698         50            6
     4696         38           14
     4538         52            6
     4554         78           10
     4542         56            4
     4590         52            6
     4794         54            6
     4760         56           10
     4630         62            6
     4472         50            8
     4668         42            8
     4554         56            8
     4664         48            2
     4460         56           12
     4558         46            8
     4576         50            6
     4664         74           12
     4616         64            8
     4692         48           10
     4446         40            0
     4566         38            4
     4668         46           10
     4666         62            0
     4596         50            6
     4586         54           14
     4598         46            6
     4630         42            2
     4564         48            8
     4644         60            6
     4648         44            6
     4644         64           12
     4370         46           12
     4462         56            4
     4738         50           10
     4352         46            4
     4540         46            2
     4682         58            4
     4600         44            6
     4630         42            4
     4528         32            6
     4594         42           10
     4576         50            8
     4634         42            4
     4794         52            4
     4812         54            6
     4664         44            8
     4512         50           10
     4414         62            4
     4676         46            6
     4576         58            2
     4418         42            6
     4624         28            2
     4652         38            6
     4668         74           18
     4700         50           10
     4742         50            8
     4772         26            2
     4460         50           10
     4640         54            6
     4528         66            8
     4722         38            0
     4602         42           10
     4738         40            4
     4422         24            2
     4602         36           10
     4562         72            8
     4568         44            4
     4732         50            6
     4634         36            6
     4624         40            2
     4756         60            8
     4580         64            8
     4690         50            6
     4648         56           10
     4682         68            4
     4780         46            6
     4578         60           14
     4630         48            6
     4598         42            4
     4760         46            4
     4816         52            4
     4532         38           10
     4660         42            4
     4780         50            8
     4624         54            6
     4562         42            6
     4588         58           10
     4556         60            6
     4632         40            4
     4608         62            6
     4562         62            6
     4720         46            8
     4736         46            8
     4610         46            2
     4780         54            2
     4604         74            6
     4682         50            6
     4610         54            8
     4682         56           10
     4550         46            8
     4684         42            2
     4578         50            4
     4654         52            6
     4606         44            6
     4728         52           10
     4600         68            6
     4514         40            0
     4658         64           12
     4792         50            4
     4682         36            2
     4668         36            4
     4498         42           10
     4556         50            2
     4610         60            2
     4578         30            6
     4526         44           12
     4534         52            6
     4562         50           10
     4494         60            8
     4740         40            2
     4568         42            0
     4442         52            4
     4572         58            8
     4486         44            8
     4726         52            4
     4722         38            4
     4566         44            2
     4542         48            8
     4658         64            2
     4628         56            0
     4494         40            4
     4626         52           10
     4588         62           12
     4410         46            2
     4494         60            8
     4632         40            4
     4594         42            0
     4540         58            6
     4796         48            8
     4542         46            4
     4434         52            4
     4720         48            8
     4684         62           10
     4830         66           12
     4536         42            4
     4516         34            2
     4564         34            4
     4586         34            4
     4552         30            4
     4618         32            2
     4786         38            4
     4668         58            2
     4582         44           10
     4540         58            6
     4612         68            8
     4582         40            2
     4540         52            6
     4652         48            2
     4550         52            0
     4660         66            6
     4646         58            6
     4504         48            2
     4560         44            4
     4480         58           10
     4590         52            8
     4738         36            2
     4546         48            4
     4482         50            8
     4554         62           10
     4814         40            2
     4526         48            6
     4834         28            4
     4652         54            6
     4608         30            4
     4622         54            6
     4710         56           12
     4608         56            2
     4498         44            6
     4538         34            2
     4660         42            4
     4606         54           10
     4650         68            8
     4570         44            4
     4674         52           10
     4862         52            2
     4582         52            8
     4676         62           10
     4662         42            2
     4544         42            6
     4776         56            2
     4596         64           12
     4696         44            4
     4608         46            4
     4692         46            4
     4636         72           12
     4542         46            0
     4500         40            4
     4706         58           14
     4650         52            8
     4588         52            6
     4586         50            4
     4592         66            6
     4676         54            6
     4580         56            4
     4610         74           18
     4636         40            4
     4484         54           14
     4636         62            4
     4584         48            4
     4716         46            4
     4774         34            2
     4640         42            4
     4730         36            2
     4672         50            2
     4550         36            0
     4608         52            4
     4512         46            2
     4620         40            0
     4550         66            4
     4682         56            6
     4328         52           10
     4512         48           10
     4620         40           10
     4610         50            6
     4716         60           14
     4702         48            4
     4638         40            4
     4438         44           10
     4586         44            2
     4546         56            6
     4420         42            4
     4472         36            2
     4690         54            6
     4598         64            8
     4680         48            0
     4674         44            6
     4452         38            2
     4586         34            6
     4674         54           12
     4576         50            8
     4574         46           10
     4504         66            8
     4684         48            4
     4582         62            6
     4670         46            8
     4444         42            4
     4626         52            8
     4504         72            8
     4814         52            4
     4806         56            2
     4628         34            6
     4570         64            6
     4572         42            0
     4480         36            8
     4828         68           18
     4618         52            4
     4668         46            4
     4728         46            6
     4674         44            4
     4374         44            4
     4552         68           10
     4704         36            2
     4738         70            8
     4718         44            0
     4652         28            8
     4454         34            4
     4518         42            6
     4620         62           14
     4554         30            4
     4698         32            2
     4524         54            4
     4612         42            2
     4714         48            4
     4624         62            4
     4576         40            8
     4668         64            6
     4616         54            6
     4590         42            4
     4634         62           14
     4530         38            6
     4494         54            8
     4550         48            6
     4538         46            2
     4630         52            4
     4678         48            4
     4602         36            8
     4438         50            4
     4594         50            2
     4714         36            6
     4554         54           10
     4664         30            2
     4648         50            8
     4722         50            2
     4744         54            8
     4638         40            4
     4554         60            6
     4756         52            4
     4556         40           10
     4748         50            4
     4608         58            4
     4532         46            2
     4692         62            2
     4596         64            4
     4716         60           10
     4574         46            2
     4506         46            4
     4616         42            2
     4546         28            6
     4600         52           10
     4608         36            4
     4630         46            8
     4470         48            4
     4646         60            6
     4566         56            8
     4660         48            2
     4664         48            6
     4536         50            4
     4732         48            2
     4688         42            6
     4658         54           10
     4518         60            2
     4650         46           10
     4560         52           10
     4620         54            4
     4854         72           10
     4558         54           14
     4476         52            8
     4654         66            6
     4546         56           10
     4524         60            6
     4546         56            6
     4516         66            6
     4674         64            8
     4592         52            4
     4694         50            2
     4534         38           12
     4596         52           10
     4638         62            8
     4816         48           10
     4568         46           10
     4466         46            4
     4632         54            6
     4506         60            4
     4684         40            6
     4690         48           10
     4532         58            2
     4556         48            8
     4718         48            6
     4628         52            8
     4506         30            8
     4558         60           10
     4648         56            6
     4642         28            2
     4610         52            8
     4758         60           10
     4752         44            6
     4574         50            8
     4562         50            4
     4672         42            6
     4736         78           12
     4700         52            8
     4792         50            4
     4510         36            2
     4666         40            0
     4482         50            2
     4774         58            4
     4614         46            8
     4670         54            0
     4646         48           10
     4648         38            6
     4596         40            4
     4568         50            2
     4646         48            4
     4680         56            8
     4692         64           12
     4598         52           10
     4442         50            4
     4684         38            6
     4658         26            2
     4602         62            8
     4628         44            4
     4472         32            0
     4496         46            2
     4664         66            4
     4648         36            4
     4446         54            8
     4674         52            8
     4566         32            2
     4530         54            8
     4674         52            4
     4526         50            4
     4608         46            2
     4612         52            6
     4650         56            4
     4542         40            6
     4598         66           10
     4584         42            4
     4624         58            6
     4586         50            6
     4632         46           10
     4556         76           10
     4710         50           10
     4552         36            6
     4638         40            2
     4568         46            4
     4646         38            2
     4600         36            6
     4720         62           14
     4808         64           12
     4498         64            4
     4462         54            2
     4480         26            0
     4690         78           10
     4510         54            2
     4472         44            4
     4612         70            2
     4588         54            6
     4690         52            6
     4680         50            8
     4632         32            0
     4746         56            8
     4614         28            4
     4442         52           10
     4594         38            4
     4500         28            8
     4516         50            4
     4494         60            8
     4554         54           10
     4630         68            8
     4626         58            2
     4494         62            4
     4588         32            6
     4588         50            4
     4736         58            2
     4646         46            8
     4684         46            4
     4620         68            8
     4634         48            4
     4746         48            2
     4728         44            2
     4578         44            2
     4680         48            0
     4652         62           16
     4404         52            2
     4696         48            6
     4584         56           12
     4416         38            4
     4676         64           10
     4538         44            0
     4460         40            4
     4676         60           10
     4736         48            8
     4448         24            4
     4640         42            6
     4778         60            6
     4574         52            2
     4688         40            6
     4676         38            4
     4636         54            6
     4524         66            4
     4642         60           14
     4680         54           14
     4468         46            4
     4712         52            6
     4726         50            2
     4708         50           10
     4650         48            4
     4488         34            4
     4592         60            6
     4688         54            4
     4646         56            8
     4700         40            6
     4460         46            2
     4632         62            2
     4736         42            0
     4642         68           10
     4662         58            4
     4568         56            6
     4574         48            4
     4684         64           16
     4564         54            4
     4618         26            4
     4572         36            6
     4716         42            0
     4444         42            6
     4618         46            2
     4514         46            6
     4468         48            6
     4442         50            4
     4554         54           12
     4490         44           10
     4638         40            2
     4524         36            4
     4558         52            4
     4440         50            4
     4456         38            2
     4768         42            2
     4612         58            6
     4536         40            4
     4724         40            2
     4650         44            2
     4558         36            6
     4580         60            6
     4512         46            8
     4538         38            0
     4630         44            8
     4726         46            8
     4786         56           10
     4632         62           10
     4542         54            6
     4650         34            2
     4672         64            4
     4766         48           12
     4728         42            4
     4738         44            8
     4592         62            8
     4628         48            8
     4612         36            4
     4498         46            6
     4604         52            6
     4648         74            8
     4566         60           14
     4866         40            2
     4634         54            6
     4640         58            4
     4462         40            2
     4672         32            2
     4592         48            0
     4518         52            4
     4518         66            4
     4686         50            8
     4520         42            8
     4620         56            6
     4570         62            8
     4670         54            6
     4564         40            2
     4682         40            0
     4642         66            4
     4496         48           12
     4606         34            6
     4522         30            2
     4606         54            8
     4742         60            4
     4702         60            4
     4596         46            4
     4512         46            6
     4554         76            6
     4390         62            4
     4600         54            8
     4686         50           10
     4610         40            4
     4634         38            2
     4764         30            0
     4632         54            8
     4754         46            4
     4632         66           12
     4616         50            4
     4710         72           10
     4548         30            6
     4468         52            8
     4640         56            6
     4574         54            2
     4676         44            6
     4606         40            2
     4514         24            2
     4644         54            2
     4630         42            6
     4540         36            2
     4596         42            4
     4482         44            8
     4728         34            4
     4582         44            2
     4546         52            4
     4598         54            2
     4546         64            6
     4708         50            4
     4654         64            6
     4698         66           10
     4810         60            6
     4628         52            8
     4442         60            6
     4744         52            8
     4656         58            2
     4584         50           10
     4618         42            2
     4626         38           12
     4588         42            8
     4556         62            4
     4462         54            0
     4780         48            4
     4778         56            8
     4660         54            0
     4658         56            4
     4538         62            8
     4616         40            0
     4630         46            4
     4718         54            6
     4682         46            4
     4736         54           14
     4638         40            8
     4580         58            6
     4580         40            2
     4408         40            0
     4622         54            6
     4902         44            6
     4520         60            2
     4580         52            2
     4740         38            6
     4592         44           10
     4572         62            8
     4650         44            4
     4592         44            8
     4656         64           16
     4574         48           10
     4538         64            6
     4600         52            8
     4708         50            4
     4450         34            8
     4666         50            8
     4546         54           16
     4634         64            4
     4562         28            0
     4670         24            6
     4538         58           10
     4594         56            4
     4654         52            0
     4636         34            4
     4512         72            6
     4706         48            8
     4660         64            8
     4748         72           10
     4824         38            8
     4634         42           10
     4654         64           12
     4694         54            4
     4658         44            4
     4614         34            2
     4636         32           10
     4588         32            0
     4552         56            2
     4658         44            2
     4428         48            2
     4638         50            0
     4542         52            6
     4654         44            4
     4624         66           14
     4778         44            6
     4550         46            6
     4872         46            6
     4578         58            2
     4550         48            4
     4646         62            2
     4546         34            6
     4584         50            2
     4558         58           14
     4630         50            2
     4548         42            4
     4552         54            6
     4634         28            2
     4500         42            6
     4712         42            8
     4654         62            8
     4514         44            2
     4660         42            8
     4700         54           10
     4712         50            4
     4806         50            2
     4538         54            2
     4618         52            0
     4750         44            4
     4530         46            6
     4682         46            2
     4420         48            6
     4722         38            2
     4674         50            0
     4684         58            6
     4410         56            4
     4656         38            2
     4732         50            6
     4720         50            6
     4532         54            2
     4710         64            8
     4714         52            8
     4602         46           14
     4776         50            6
     4602         36            4
     4574         60            8
     4666         36            2
     4568         34            4
     4632         42            8
     4536         46            2
     4526         50           10
     4756         48            4
     4594         48            2
     4530         50            4
     4512         48            8
     4538         58            4
     4570         46           10
     4738         62            4
     4586         56            8
     4592         80           10
     4636         56            4
     4666         54           10
     4842         36            6
     4574         48            2
     4708         54           14
     4642         32            6
     4672         50            2
     4520         38            8
     4662         54            2
     4632         64            4
     4684         48            8
     4714         46            2
     4698         56            4
     4680         46           10
     4480         62            8
     4786         36            4
     4750         52            2
     4616         42            2
     4684         56            0
     4674         50            4
     4650         38           10
     4520         54            2
     4616         38            0
     4754         42            6
     4690         42            8
     4594         70            6
     4504         36            0
     4726         70           10
     4716         50            6
     4646         74            8
     4546         50           10
     4494         34           10
     4678         56           12
     4562         50            2
     4576         52            6
     4704         58            6
     4700         50           10
     4468         54            8
     4674         48            8
     4732         54           10
     4494         56            6
     4598         48            2
     4596         42            4
     4668         68           14
     4558         54            2
     4560         52            4
     4538         52            0
     4766         50            2
     4342         50            4
     4680         70            8
     4632         48            4
     4604         50            6
     4638         60            8
     4698         48            0
     4766         56            2
     4614         50            8
     4734         44            2
     4560         54           10
     4552         42            4
     4494         48            8
     4718         38            4
     4742         50            8
     4584         44            6
     4766         62            6
     4624         62            8
     4658         34           10
     4502         46           10
     4748         30            2
     4736         44            0
     4718         48            8
     4660         40            0
     4656         40            4
     4466         56            8
     4472         72            6
     4650         54            6
     4554         34            2
     4692         76           10
     4596         42            8
     4554         40            4
     4538         50           10
     4700         30            2
     4692         62           10
     4656         58            6
     4676         60            8
     4528         50            8
     4710         32            0
     4782         40            4
     4684         54           12
     4606         40            2
     4616         56            6
     4590         42            6
     4496         60            6
     4684         60           12
     4692         56            4
     4886         32            4
     4766         50           10
     4514         40            8
     4798         52           10
     4584         34            4
     4622         62            8
     4664         46            6
     4588         34            4
     4736         60            4
     4608         64           10
     4574         42            6
     4530         58            6
     4638         54           16
     4586         52            4
     4700         48            4
     4680         60            4
